 ('2023-11-13', 0.48829673468845414),
 ('2023-11-14', 0.48862780005069545),
 ('2023-11-15', 0.48078857618942317),
 ('2023-11-16', 0.46687440642858435),
 ('2023-11-17', 0.4727194620092517),
 ('2023-11-18', 0.4653997567654484),
 ('2023-11-19', 0.4626220819923222),
 ('2023-11-20', 0.46504338594093575),
 ('2023-11-21', 0.4854498050699233),
 ('2023-11-22', 0.48660339624318005),
 ('2023-11-23', 0.49210967941543027),
 ('2023-11-24', 0.49270193262435696),
 ('2023-11-25', 0.4927393140952253),
 ('2023-11-26', 0.4919037242984516),
 ('2023-11-27', 0.49399352385864487),
 ('2023-11-28', 0.49462363653520125),
 ('2023-11-29', 0.5019385756276704),
 ('2023-11-30', 0.5056670900346757),
 ('2023-12-1', 0.5097971367125231),
 ('2023-12-2', 0.4923466289909744),
 ('2023-12-3', 0.491520565017293),
 ('2023-12-4', 0.48769436799894195),
 ('2023-12-5', 0.48833054068596177),
 ('2023-12-6', 0.48453579797020874),
 ('2023-12-7', 0.4843473146543071),
 ('2023-12-8', 0.48529408224038384),
 ('2023-12-9', 0.48641181687852736),
 ('2023-12-10', 0.48325243182284117),
 ('2023-12-11', 0.48311178184738574),
 ('2023-12-12', 0.48484370954302847),
 ('2023-12-13', 0.48363428085738386),
 ('2023-12-14', 0.49326439535537364),
 ('2023-12-15', 0.4923993137322234),
 ('2023-12-16', 0.495434917827874),
 ('2023-12-17', 0.49288188171672004),
 ('2023-12-18', 0.4964261142491556),
 ('2023-12-19', 0.5035147333299772),
 ('2023-12-20', 0.5165202032786876),
 ('2023-12-21', 0.540216170704835),
 ('2023-12-22', 0.5549173300729786),
 ('2023-12-23', 0.5673053118298198),
 ('2023-12-24', 0.5647839062778888),
 ('2023-12-25', 0.5658905584562819),
 ('2023-12-26', 0.5654226356602522),
 ('2023-12-27', 0.5650214563762341),
 ('2023-12-28', 0.5573436839277646),
 ('2023-12-29', 0.5590148881644367),
 ('2023-12-30', 0.5565025344609891),
 ('2023-12-31', 0.5537416905998257),
 ('2024-1-1', 0.552424939147977),
 ('2024-1-2', 0.5569824860691287),
 ('2024-1-3', 0.5536992178444664),
 ('2024-1-4', 0.5524361202209419),
 ('2024-1-5', 0.5492973132453266),
 ('2024-1-6', 0.5489308571974106),
 ('2024-1-7', 0.5468056269540802),
 ('2024-1-8', 0.5479183527581187),
 ('2024-1-9', 0.5488716547452349),
 ('2024-1-10', 0.5456655952925613),
 ('2024-1-11', 0.5429647479105901),
 ('2024-1-12', 0.5402240069983296),
 ('2024-1-13', 0.5373779271821211),
 ('2024-1-14', 0.5309956283384455),
 ('2024-1-15', 0.5312748895983574),
 ('2024-1-16', 0.5311471295738954),
 ('2024-1-17', 0.5311368245158636),
 ('2024-1-18', 0.529468188691354),
 ('2024-1-19', 0.521445132933091),
